"model","fold","o","p","DLONG","DLAT","autofit_model","autofit_psill","autofit_range","autofit_kappa"
"rk_lm",1,4.35670882668959,3.75429622639057,120.47483,-28.08024,NA,NA,NA,NA
"rk_lm",1,2.83321334405622,3.80241078302984,121.11742,-28.07991,NA,NA,NA,NA
"rk_lm",1,2.99573227355399,2.77022886517811,120.35138,-28.07935,NA,NA,NA,NA
"rk_lm",1,3.66356164612965,3.33380709495877,121.15795,-28.06763,NA,NA,NA,NA
"rk_lm",1,3.46573590279973,3.74107400548135,120.70928,-28.06725,NA,NA,NA,NA
"rk_lm",1,2.30258509299405,2.77292232964732,120.33782,-28.06658,NA,NA,NA,NA
"rk_lm",1,4.34963256686288,3.78519530576182,120.51741,-28.0635,NA,NA,NA,NA
"rk_lm",1,4.70048036579242,3.71141705265314,120.60454,-28.05237,NA,NA,NA,NA
"rk_lm",1,4.60517018598809,4.06463302222869,120.53053,-28.04432,NA,NA,NA,NA
"rk_lm",1,2.07944154167984,2.40266756599504,120.17346,-28.04328,NA,NA,NA,NA
"rk_lm",1,2.07944154167984,2.55920337463973,120.24427,-28.03071,NA,NA,NA,NA
"rk_lm",1,3.44998754583159,4.34291557559974,120.53181,-28.02646,NA,NA,NA,NA
"rk_lm",1,3.25809653802148,3.49856967242221,120.46173,-28.02005,NA,NA,NA,NA
"rk_lm",1,4.18965474202643,3.86430090601309,120.55408,-28.01514,NA,NA,NA,NA
"rk_lm",1,3.36729582998647,3.39128192641714,120.45248,-28.00805,NA,NA,NA,NA
"rk_lm",1,2.89037175789616,3.50581176966624,120.45625,-28.00033,NA,NA,NA,NA
"rk_lm",1,2.77258872223978,3.46182701982931,120.83041,-27.99881,NA,NA,NA,NA
"rk_lm",1,3.3322045101752,3.50910536802769,120.45887,-27.99568,NA,NA,NA,NA
"rk_lm",1,3.91202300542815,3.51077403481755,120.45934,-27.99565,NA,NA,NA,NA
"rk_lm",1,2.77258872223978,3.50313046436076,120.45776,-27.99369,NA,NA,NA,NA
"rk_lm",1,3.2188758248682,3.47327833881024,120.38276,-27.99335,NA,NA,NA,NA
"rk_lm",1,3.40119738166216,3.61969725024322,121.04293,-27.99277,NA,NA,NA,NA
"rk_lm",1,3.97029191355212,3.54717039840815,120.45933,-27.99006,NA,NA,NA,NA
"rk_lm",1,2.07944154167984,3.71340965786913,120.28591,-27.9888,NA,NA,NA,NA
"rk_lm",1,1.09861228866811,3.46953634238331,120.38277,-27.98876,NA,NA,NA,NA
"rk_lm",1,3.40119738166216,3.53905919754049,120.45789,-27.98774,NA,NA,NA,NA
"rk_lm",1,3.04452243772342,3.09090233138482,120.8964,-27.98522,NA,NA,NA,NA
"rk_lm",1,2.77258872223978,3.11762609332866,120.76308,-27.98482,NA,NA,NA,NA
"rk_lm",1,4.93447393313069,3.98525305305,120.5017,-27.9763,NA,NA,NA,NA
"rk_lm",1,5.04985600724954,4.0565968429731,120.57539,-27.97444,NA,NA,NA,NA
"rk_lm",1,3.71357206670431,3.66208387598221,120.30114,-27.97255,NA,NA,NA,NA
"rk_lm",1,4.59511985013459,4.09744001677042,120.55775,-27.97126,NA,NA,NA,NA
"rk_lm",1,3.87120101090789,3.93648999179129,120.54012,-27.97082,NA,NA,NA,NA
"rk_lm",1,4.33073334028633,3.72899287458373,120.53062,-27.9708,NA,NA,NA,NA
"rk_lm",1,4.23410650459726,3.72868331767501,120.52939,-27.97068,NA,NA,NA,NA
"rk_lm",1,4.06044301054642,3.46140413675929,120.51573,-27.96914,NA,NA,NA,NA
"rk_lm",1,4.53259949315326,3.91951674558225,120.62686,-27.96613,NA,NA,NA,NA
"rk_lm",1,4.35670882668959,3.91939689141099,120.62737,-27.96539,NA,NA,NA,NA
"rk_lm",1,4.60517018598809,4.02633734908551,120.65298,-27.96342,NA,NA,NA,NA
"rk_lm",1,3.63758615972639,3.94343286878588,120.59533,-27.96276,NA,NA,NA,NA
"rk_lm",1,4.26267987704132,3.98370987276237,120.64031,-27.94917,NA,NA,NA,NA
"rk_lm",1,4.00733318523247,3.69316718641836,120.59822,-27.93638,NA,NA,NA,NA
"rk_lm",1,3.98898404656427,3.4543029375069,120.23824,-27.93205,NA,NA,NA,NA
"rk_lm",1,4.0943445622221,3.84702241021992,121.03582,-27.93177,NA,NA,NA,NA
"rk_lm",1,2.77258872223978,3.41625155803886,120.94888,-27.92744,NA,NA,NA,NA
"rk_lm",1,2.89037175789616,3.70812592048438,120.52003,-27.92262,NA,NA,NA,NA
"rk_lm",1,1.94591014905531,2.64950492078217,120.37722,-27.91975,NA,NA,NA,NA
"rk_lm",1,4.77912349311153,3.97170337088279,121.09295,-27.91439,NA,NA,NA,NA
"rk_lm",1,3.09104245335832,3.13082471429027,120.25182,-27.90751,NA,NA,NA,NA
"rk_lm",1,2.30258509299405,3.11160908373947,120.91482,-27.90744,NA,NA,NA,NA
"rk_lm",1,3.2188758248682,4.16667172692398,121.17794,-27.90647,NA,NA,NA,NA
"rk_lm",1,3.29583686600433,2.80657485098802,120.17851,-27.90541,NA,NA,NA,NA
"rk_lm",1,4.14313472639153,3.83720531859246,120.65477,-27.89949,NA,NA,NA,NA
"rk_lm",1,3.04452243772342,3.29113974532484,120.31136,-27.89577,NA,NA,NA,NA
"rk_lm",1,3.55534806148941,3.56431753488294,120.52531,-27.89483,NA,NA,NA,NA
"rk_lm",1,4.55387689160054,4.141864146967,121.16322,-27.88933,NA,NA,NA,NA
"rk_lm",1,4.17438726989564,4.04267962046295,121.16121,-27.8875,NA,NA,NA,NA
"rk_lm",1,4.67282883446191,3.77928657857517,120.54642,-27.87024,NA,NA,NA,NA
"rk_lm",1,3.98898404656427,3.69119415492997,120.71877,-27.86375,NA,NA,NA,NA
"rk_lm",1,4.38202663467388,3.70064979609797,120.53988,-27.85567,NA,NA,NA,NA
"rk_lm",1,5.12989871492307,3.78167678478883,120.68437,-27.85378,NA,NA,NA,NA
"rk_lm",1,3.66356164612965,3.40916826616163,120.17447,-27.85096,NA,NA,NA,NA
"rk_lm",1,4.4188406077966,4.35930547575263,121.12594,-27.8494,NA,NA,NA,NA
"rk_lm",1,3.52636052461616,3.88135929089655,121.02362,-27.82987,NA,NA,NA,NA
"rk_lm",1,4.67282883446191,4.36169037545998,120.577,-27.82343,NA,NA,NA,NA
"rk_lm",1,2.484906649788,3.28756340879021,120.16642,-27.82295,NA,NA,NA,NA
"rk_lm",1,2.70805020110221,3.51836024683188,120.2535,-27.82049,NA,NA,NA,NA
"rk_lm",1,3.25809653802148,3.69921361167426,120.21878,-27.8163,NA,NA,NA,NA
"rk_lm",1,1.79175946922805,3.72581948119111,120.73756,-27.79311,NA,NA,NA,NA
"rk_lm",1,4.15888308335967,3.55844029938386,120.59763,-27.79151,NA,NA,NA,NA
"rk_lm",1,4.34380542185368,3.6738766200373,120.61412,-27.78811,NA,NA,NA,NA
"rk_lm",1,3.46573590279973,3.85398269109517,121.03733,-27.78574,NA,NA,NA,NA
"rk_lm",1,2.07944154167984,2.93819314337623,120.43209,-27.78091,NA,NA,NA,NA
"rk_lm",1,4.47733681447821,3.74939895032942,121.01576,-27.76981,NA,NA,NA,NA
"rk_lm",1,2.07944154167984,3.21208121923579,120.787,-27.76899,NA,NA,NA,NA
"rk_lm",1,3.40119738166216,3.02742631603168,120.81506,-27.76292,NA,NA,NA,NA
"rk_lm",1,2.70805020110221,3.03756691520674,120.19984,-27.75565,NA,NA,NA,NA
"rk_lm",1,2.89037175789616,3.3023824270355,120.25811,-27.75348,NA,NA,NA,NA
"rk_lm",1,3.52636052461616,3.04044133914952,120.7908,-27.74602,NA,NA,NA,NA
"rk_lm",1,2.39789527279837,2.99204954050899,120.44683,-27.72281,NA,NA,NA,NA
"rk_lm",1,3.63758615972639,3.49644291167097,120.60283,-27.72181,NA,NA,NA,NA
"rk_lm",1,3.61091791264422,3.30716501304468,120.52802,-27.71667,NA,NA,NA,NA
"rk_lm",1,3.36729582998647,2.94214396172221,120.40257,-27.70368,NA,NA,NA,NA
"rk_lm",1,2.77258872223978,2.70751505187612,120.32583,-27.69057,NA,NA,NA,NA
"rk_lm",1,3.95124371858143,3.14688689349257,120.42701,-27.68831,NA,NA,NA,NA
"rk_lm",1,2.56494935746154,2.82961715125305,120.82319,-27.67807,NA,NA,NA,NA
"rk_lm",1,3.36729582998647,2.75440406072254,120.18538,-27.67059,NA,NA,NA,NA
"rk_lm",1,2.99573227355399,2.72498889379216,120.24504,-27.66792,NA,NA,NA,NA
"rk_lm",1,3.46573590279973,2.91977709763117,120.40674,-27.65406,NA,NA,NA,NA
"rk_lm",1,5.1624976434055,3.8415077595445,120.55535,-27.64078,NA,NA,NA,NA
"rk_lm",1,2.94443897916644,2.70958567772031,120.24363,-27.63679,NA,NA,NA,NA
"rk_lm",1,4.69134788222914,3.77326404986605,120.57926,-27.62316,NA,NA,NA,NA
"rk_lm",1,4.5857834721879,3.91027940679367,120.56341,-27.61422,NA,NA,NA,NA
"rk_lm",1,3.25809653802148,2.76522413091532,120.32582,-27.59537,NA,NA,NA,NA
"rk_lm",1,3.13549421592915,2.75324710560593,120.16524,-27.58123,NA,NA,NA,NA
"rk_lm",1,3.58351893845611,2.55194343409527,120.40349,-27.57068,NA,NA,NA,NA
"rk_lm",1,2.70805020110221,2.87272503747324,120.79427,-27.56044,NA,NA,NA,NA
"rk_lm",1,2.77258872223978,2.81559025862547,120.19131,-27.55251,NA,NA,NA,NA
"rk_lm",1,2.83321334405622,3.26508200315385,120.70425,-27.54408,NA,NA,NA,NA
"rk_lm",1,4.60517018598809,3.66056969479818,120.52486,-27.53883,NA,NA,NA,NA
"rk_lm",1,4.17438726989564,3.58292298626004,120.52473,-27.53272,NA,NA,NA,NA
"rk_lm",1,3.20558793054127,4.03813807100963,120.56821,-27.51118,NA,NA,NA,NA
"rk_lm",1,2.63905732961526,3.0813517343696,120.77144,-27.5106,NA,NA,NA,NA
"rk_lm",1,2.484906649788,2.61111683257171,120.33715,-27.49639,NA,NA,NA,NA
"rk_lm",1,2.77258872223978,2.42788199557257,120.21201,-27.4818,NA,NA,NA,NA
"rk_lm",1,4.15888308335967,3.77335268095122,120.56204,-27.46859,NA,NA,NA,NA
"rk_lm",1,3.09104245335832,2.8465192201545,120.36606,-27.4585,NA,NA,NA,NA
"rk_lm",1,4.47163879336357,3.76122551272211,120.5764,-27.44707,NA,NA,NA,NA
"rk_lm",1,3.71357206670431,3.19735179621103,120.84227,-27.44295,NA,NA,NA,NA
"rk_lm",1,3.71357206670431,3.7233068925095,120.57926,-27.42943,NA,NA,NA,NA
"rk_lm",1,2.99573227355399,4.09862620479984,120.52501,-27.4058,NA,NA,NA,NA
"rk_lm",1,2.484906649788,2.73169487153739,120.16719,-27.40575,NA,NA,NA,NA
"rk_lm",1,3.2188758248682,2.90880839011115,120.27026,-27.3852,NA,NA,NA,NA
"rk_lm",1,3.66356164612965,3.88360330924135,120.5721,-27.38122,NA,NA,NA,NA
"rk_lm",1,3.09104245335832,3.24340881743092,120.42281,-27.37649,NA,NA,NA,NA
"rk_lm",1,2.83321334405622,3.21809932670591,120.3963,-27.36182,NA,NA,NA,NA
"rk_lm",1,2.83321334405622,3.20549107556901,120.27453,-27.34099,NA,NA,NA,NA
"rk_lm",1,2.83321334405622,3.03758199965093,120.37154,-27.3405,NA,NA,NA,NA
"rk_lm",1,2.99573227355399,2.80907544587716,120.76295,-27.33515,NA,NA,NA,NA
"rk_lm",1,3.29583686600433,2.97784298158222,120.20156,-27.32213,NA,NA,NA,NA
"rk_lm",1,3.29583686600433,2.20387797036524,120.06145,-27.32024,NA,NA,NA,NA
"rk_lm",1,3.17805383034795,3.09886713136346,120.18359,-27.31692,NA,NA,NA,NA
"rk_lm",1,3.29583686600433,3.04168931780384,120.68962,-27.29265,NA,NA,NA,NA
"rk_rf",1,3.63758615972639,3.03595185447474,120.4861,-28.51064,NA,NA,NA,NA
"rk_rf",1,5.37063802812766,3.03170908480013,120.45822,-28.49214,NA,NA,NA,NA
"rk_rf",1,3.40119738166216,4.20659364405756,120.53746,-28.46935,NA,NA,NA,NA
"rk_rf",1,2.99573227355399,3.06807356187612,120.35519,-28.4611,NA,NA,NA,NA
"rk_rf",1,3.52636052461616,3.07432659314054,120.17125,-28.4465,NA,NA,NA,NA
"rk_rf",1,2.19722457733622,3.25691605177844,120.65677,-28.43555,NA,NA,NA,NA
"rk_rf",1,3.40119738166216,3.13227084222479,120.05543,-28.41446,NA,NA,NA,NA
"rk_rf",1,3.25809653802148,3.15155170804383,120.38929,-28.41181,NA,NA,NA,NA
"rk_rf",1,3.40119738166216,3.23159560833607,120.3639,-28.4068,NA,NA,NA,NA
"rk_rf",1,3.46573590279973,3.24652388340479,120.1658,-28.39938,NA,NA,NA,NA
"rk_rf",1,3.61091791264422,3.33791768643712,120.56237,-28.38919,NA,NA,NA,NA
"rk_rf",1,3.52636052461616,3.29813141510121,120.37496,-28.3849,NA,NA,NA,NA
"rk_rf",1,2.89037175789616,3.1900595864538,120.45307,-28.38284,NA,NA,NA,NA
"rk_rf",1,2.77258872223978,3.19280707403677,120.49417,-28.37591,NA,NA,NA,NA
"rk_rf",1,2.89037175789616,3.14369720676619,120.1305,-28.3607,NA,NA,NA,NA
"rk_rf",1,3.8286413964891,3.08104477156296,120.54726,-28.33155,NA,NA,NA,NA
"rk_rf",1,2.89037175789616,3.08346518890499,120.27564,-28.32945,NA,NA,NA,NA
"rk_rf",1,2.63905732961526,3.1543960586568,120.73231,-28.32749,NA,NA,NA,NA
"rk_rf",1,4.28358656186063,3.6301521097547,121.06529,-28.32348,NA,NA,NA,NA
"rk_rf",1,3.17805383034795,3.06762472920706,120.40505,-28.3195,NA,NA,NA,NA
"rk_rf",1,2.70805020110221,3.10151096399763,120.79678,-28.30737,NA,NA,NA,NA
"rk_rf",1,4.31748811353631,3.98835367568889,121.00608,-28.30672,NA,NA,NA,NA
"rk_rf",1,2.77258872223978,2.83552572729451,121.14028,-28.29698,NA,NA,NA,NA
"rk_rf",1,3.17805383034795,3.37601149478074,121.01559,-28.29534,NA,NA,NA,NA
"rk_rf",1,3.09104245335832,3.22974914647448,120.48783,-28.2941,NA,NA,NA,NA
"rk_rf",1,1.94591014905531,3.06134576265832,120.80632,-28.28944,NA,NA,NA,NA
"rk_rf",1,2.63905732961526,2.94051944789102,120.9321,-28.28414,NA,NA,NA,NA
"rk_rf",1,2.99573227355399,3.56360115191517,120.45584,-28.28031,NA,NA,NA,NA
"rk_rf",1,3.78418963391826,2.95395889877347,120.61511,-28.27848,NA,NA,NA,NA
"rk_rf",1,2.39789527279837,3.33763816809031,121.0493,-28.27662,NA,NA,NA,NA
"rk_rf",1,2.63905732961526,2.72701717587517,120.4197,-28.27564,NA,NA,NA,NA
"rk_rf",1,4.56434819146784,4.10569338959709,120.46984,-28.27402,NA,NA,NA,NA
"rk_rf",1,4.23410650459726,3.05292417788165,120.22522,-28.27335,NA,NA,NA,NA
"rk_rf",1,4.64439089914137,4.23405350760926,120.47653,-28.27326,NA,NA,NA,NA
"rk_rf",1,4.96284463025991,4.23409963565124,120.47668,-28.27313,NA,NA,NA,NA
"rk_rf",1,3.17805383034795,3.05981158606354,120.58841,-28.26701,NA,NA,NA,NA
"rk_rf",1,3.36729582998647,3.01007768133445,120.81579,-28.24712,NA,NA,NA,NA
"rk_rf",1,3.09104245335832,2.95334397307158,120.2483,-28.24124,NA,NA,NA,NA
"rk_rf",1,4.06044301054642,3.89880044533208,120.91474,-28.23615,NA,NA,NA,NA
"rk_rf",1,3.87120101090789,3.14152129028756,121.11648,-28.23055,NA,NA,NA,NA
"rk_rf",1,3.68887945411394,3.14862059025391,120.5894,-28.2296,NA,NA,NA,NA
"rk_rf",1,3.29583686600433,3.85248458162771,121.02579,-28.22527,NA,NA,NA,NA
"rk_rf",1,4.43081679884331,3.80243765498609,120.90232,-28.22247,NA,NA,NA,NA
"rk_rf",1,4.96284463025991,4.13025155462771,120.90624,-28.21708,NA,NA,NA,NA
"rk_rf",1,3.40119738166216,3.23085425109816,121.13525,-28.20755,NA,NA,NA,NA
"rk_rf",1,3.63758615972639,3.45452990576843,121.10133,-28.20295,NA,NA,NA,NA
"rk_rf",1,3.3322045101752,2.95040493268977,120.25872,-28.20155,NA,NA,NA,NA
"rk_rf",1,1.6094379124341,3.54001030784772,120.72367,-28.1845,NA,NA,NA,NA
"rk_rf",1,3.78418963391826,3.10494303280061,120.56498,-28.18076,NA,NA,NA,NA
"rk_rf",1,2.77258872223978,3.0519702701921,120.38606,-28.17831,NA,NA,NA,NA
"rk_rf",1,3.17805383034795,3.9177811013033,120.71763,-28.17481,NA,NA,NA,NA
"rk_rf",1,4.11087386417331,3.44484796425559,121.00083,-28.17385,NA,NA,NA,NA
"rk_rf",1,3.17805383034795,2.75302052448103,120.20667,-28.16088,NA,NA,NA,NA
"rk_rf",1,2.07944154167984,2.76429715596898,120.2418,-28.1472,NA,NA,NA,NA
"rk_rf",1,1.79175946922805,3.23667314202111,120.72917,-28.13653,NA,NA,NA,NA
"rk_rf",1,3.68887945411394,3.23832431954522,120.98367,-28.12928,NA,NA,NA,NA
"rk_rf",1,2.83321334405622,3.02545914217221,121.20709,-28.12493,NA,NA,NA,NA
"rk_rf",1,4.29045944114839,4.34853903960599,120.56709,-28.11187,NA,NA,NA,NA
"rk_rf",1,2.484906649788,2.82939379661386,120.19767,-28.11062,NA,NA,NA,NA
"rk_rf",1,4.77068462446567,4.54941386582403,120.57419,-28.10904,NA,NA,NA,NA
"rk_rf",1,4.75359019110636,4.54404300047627,120.57569,-28.1084,NA,NA,NA,NA
"rk_rf",1,3.98898404656427,4.33852663783124,120.57751,-28.10765,NA,NA,NA,NA
"rk_rf",1,4.11087386417331,3.3562465015244,121.0701,-28.10299,NA,NA,NA,NA
"rk_rf",1,3.25809653802148,3.15907565863472,120.42884,-28.10242,NA,NA,NA,NA
"rk_rf",1,3.52636052461616,3.10116994402574,120.68897,-28.09908,NA,NA,NA,NA
"rk_rf",1,3.58351893845611,3.66968833727017,120.66801,-28.09254,NA,NA,NA,NA
"rk_rf",1,4.79579054559674,3.86870109098245,120.49634,-28.08349,NA,NA,NA,NA
"rk_rf",1,4.26267987704132,4.57823150966292,120.47812,-28.0803,NA,NA,NA,NA
"rk_rf",1,3.98898404656427,4.44474368246676,120.47647,-28.08027,NA,NA,NA,NA
"rk_rf",1,4.35670882668959,4.36823886940478,120.47483,-28.08024,NA,NA,NA,NA
"rk_rf",1,2.83321334405622,3.28385728307343,121.11742,-28.07991,NA,NA,NA,NA
"rk_rf",1,2.99573227355399,3.00558502970033,120.35138,-28.07935,NA,NA,NA,NA
"rk_rf",1,3.66356164612965,3.13550655791054,121.15795,-28.06763,NA,NA,NA,NA
"rk_rf",1,3.46573590279973,2.95999678583984,120.70928,-28.06725,NA,NA,NA,NA
"rk_rf",1,2.30258509299405,3.01784342534827,120.33782,-28.06658,NA,NA,NA,NA
"rk_rf",1,4.34963256686288,3.83586041646939,120.51741,-28.0635,NA,NA,NA,NA
"rk_rf",1,4.70048036579242,3.15922328983619,120.60454,-28.05237,NA,NA,NA,NA
"rk_rf",1,4.60517018598809,4.47634211357981,120.53053,-28.04432,NA,NA,NA,NA
"rk_rf",1,2.07944154167984,2.93487067684379,120.17346,-28.04328,NA,NA,NA,NA
"rk_rf",1,2.07944154167984,2.91932164528173,120.24427,-28.03071,NA,NA,NA,NA
"rk_rf",1,3.44998754583159,4.32098802362336,120.53181,-28.02646,NA,NA,NA,NA
"rk_rf",1,3.25809653802148,3.35898874122667,120.46173,-28.02005,NA,NA,NA,NA
"rk_rf",1,4.18965474202643,3.70009239888412,120.55408,-28.01514,NA,NA,NA,NA
"rk_rf",1,3.36729582998647,3.57248503282399,120.45248,-28.00805,NA,NA,NA,NA
"rk_rf",1,2.89037175789616,3.44854478698184,120.45625,-28.00033,NA,NA,NA,NA
"rk_rf",1,2.77258872223978,3.32769687102814,120.83041,-27.99881,NA,NA,NA,NA
"rk_rf",1,3.3322045101752,3.04540096683729,120.45887,-27.99568,NA,NA,NA,NA
"rk_rf",1,3.91202300542815,2.79693015704394,120.45934,-27.99565,NA,NA,NA,NA
"rk_rf",1,2.77258872223978,3.42727748089515,120.45776,-27.99369,NA,NA,NA,NA
"rk_rf",1,3.2188758248682,2.81197999342965,120.38276,-27.99335,NA,NA,NA,NA
"rk_rf",1,3.40119738166216,3.60237168819604,121.04293,-27.99277,NA,NA,NA,NA
"rk_rf",1,3.97029191355212,4.27394773232621,120.45933,-27.99006,NA,NA,NA,NA
"rk_rf",1,2.07944154167984,2.75070645552733,120.28591,-27.9888,NA,NA,NA,NA
"rk_rf",1,1.09861228866811,2.95627073706314,120.38277,-27.98876,NA,NA,NA,NA
"rk_rf",1,3.40119738166216,4.01780106925503,120.45789,-27.98774,NA,NA,NA,NA
"rk_rf",1,3.04452243772342,3.09225397245125,120.8964,-27.98522,NA,NA,NA,NA
"rk_rf",1,2.77258872223978,3.07103448203674,120.76308,-27.98482,NA,NA,NA,NA
"rk_rf",1,4.93447393313069,3.88604680198969,120.5017,-27.9763,NA,NA,NA,NA
"rk_rf",1,5.04985600724954,4.32854218487326,120.57539,-27.97444,NA,NA,NA,NA
"rk_rf",1,3.71357206670431,2.83928994011013,120.30114,-27.97255,NA,NA,NA,NA
"rk_rf",1,4.59511985013459,4.5353008251109,120.55775,-27.97126,NA,NA,NA,NA
"rk_rf",1,3.87120101090789,4.60625772604568,120.54012,-27.97082,NA,NA,NA,NA
"rk_rf",1,4.33073334028633,4.29468775508753,120.53062,-27.9708,NA,NA,NA,NA
"rk_rf",1,4.23410650459726,4.3624214781996,120.52939,-27.97068,NA,NA,NA,NA
"rk_rf",1,4.06044301054642,3.76224838753091,120.51573,-27.96914,NA,NA,NA,NA
"rk_rf",1,4.53259949315326,4.41878875861358,120.62686,-27.96613,NA,NA,NA,NA
"rk_rf",1,4.35670882668959,4.41926449966339,120.62737,-27.96539,NA,NA,NA,NA
"rk_rf",1,4.60517018598809,4.5436729329945,120.65298,-27.96342,NA,NA,NA,NA
"rk_rf",1,3.63758615972639,3.93989143953065,120.59533,-27.96276,NA,NA,NA,NA
"rk_rf",1,4.26267987704132,4.37389567492068,120.64031,-27.94917,NA,NA,NA,NA
"rk_rf",1,4.00733318523247,3.6729113282114,120.59822,-27.93638,NA,NA,NA,NA
"rk_rf",1,3.98898404656427,3.05966200261764,120.23824,-27.93205,NA,NA,NA,NA
"rk_rf",1,4.0943445622221,3.68143890843326,121.03582,-27.93177,NA,NA,NA,NA
"rk_rf",1,2.77258872223978,3.417420441721,120.94888,-27.92744,NA,NA,NA,NA
"rk_rf",1,2.89037175789616,3.50890069236471,120.52003,-27.92262,NA,NA,NA,NA
"rk_rf",1,1.94591014905531,2.50444521800961,120.37722,-27.91975,NA,NA,NA,NA
"rk_rf",1,4.77912349311153,4.02741614512537,121.09295,-27.91439,NA,NA,NA,NA
"rk_rf",1,3.09104245335832,2.91939124497599,120.25182,-27.90751,NA,NA,NA,NA
"rk_rf",1,2.30258509299405,2.71439218923871,120.91482,-27.90744,NA,NA,NA,NA
"rk_rf",1,3.2188758248682,3.87926784722459,121.17794,-27.90647,NA,NA,NA,NA
"rk_rf",1,3.29583686600433,3.0639802414167,120.17851,-27.90541,NA,NA,NA,NA
"rk_rf",1,4.14313472639153,3.77206784224115,120.65477,-27.89949,NA,NA,NA,NA
"rk_rf",1,3.04452243772342,3.082874792004,120.31136,-27.89577,NA,NA,NA,NA
"rk_rf",1,3.55534806148941,3.48104741315706,120.52531,-27.89483,NA,NA,NA,NA
"rk_rf",1,4.55387689160054,3.93916767012523,121.16322,-27.88933,NA,NA,NA,NA
"rk_rf",1,4.17438726989564,3.97923425332763,121.16121,-27.8875,NA,NA,NA,NA
"rk_rf",1,4.67282883446191,3.69318172787796,120.54642,-27.87024,NA,NA,NA,NA
"rk_rf",1,3.98898404656427,3.83534653177034,120.71877,-27.86375,NA,NA,NA,NA
"rk_rf",1,4.38202663467388,3.76765435170524,120.53988,-27.85567,NA,NA,NA,NA
"rk_rf",1,5.12989871492307,3.84405287040072,120.68437,-27.85378,NA,NA,NA,NA
"rk_rf",1,3.66356164612965,3.35975980248617,120.17447,-27.85096,NA,NA,NA,NA
"rk_rf",1,4.4188406077966,4.03201255035074,121.12594,-27.8494,NA,NA,NA,NA
"rk_rf",1,3.52636052461616,4.07804547905337,121.02362,-27.82987,NA,NA,NA,NA
"rk_rf",1,4.67282883446191,4.5691341177971,120.577,-27.82343,NA,NA,NA,NA
"rk_rf",1,2.484906649788,3.16034955691358,120.16642,-27.82295,NA,NA,NA,NA
"rk_rf",1,2.70805020110221,3.49769719332644,120.2535,-27.82049,NA,NA,NA,NA
"rk_rf",1,3.25809653802148,3.43508793097679,120.21878,-27.8163,NA,NA,NA,NA
"rk_rf",1,1.79175946922805,3.20100445195294,120.73756,-27.79311,NA,NA,NA,NA
"rk_rf",1,4.15888308335967,3.50383739956212,120.59763,-27.79151,NA,NA,NA,NA
"rk_rf",1,4.34380542185368,3.82272760676697,120.61412,-27.78811,NA,NA,NA,NA
"rk_rf",1,3.46573590279973,3.70576148594114,121.03733,-27.78574,NA,NA,NA,NA
"rk_rf",1,2.07944154167984,2.82756429063725,120.43209,-27.78091,NA,NA,NA,NA
"rk_rf",1,4.47733681447821,3.41114782177175,121.01576,-27.76981,NA,NA,NA,NA
"rk_rf",1,2.07944154167984,2.73164512839696,120.787,-27.76899,NA,NA,NA,NA
"rk_rf",1,3.40119738166216,3.00588272148757,120.81506,-27.76292,NA,NA,NA,NA
"rk_rf",1,2.70805020110221,3.02122942561481,120.19984,-27.75565,NA,NA,NA,NA
"rk_rf",1,2.89037175789616,2.9463095916714,120.25811,-27.75348,NA,NA,NA,NA
"rk_rf",1,3.52636052461616,2.98607445459023,120.7908,-27.74602,NA,NA,NA,NA
"rk_rf",1,2.39789527279837,3.19602792827557,120.44683,-27.72281,NA,NA,NA,NA
"rk_rf",1,3.63758615972639,3.75566648401945,120.60283,-27.72181,NA,NA,NA,NA
"rk_rf",1,3.61091791264422,3.29090121975216,120.52802,-27.71667,NA,NA,NA,NA
"rk_rf",1,3.36729582998647,2.98805257611316,120.40257,-27.70368,NA,NA,NA,NA
"rk_rf",1,2.77258872223978,2.80346125211273,120.32583,-27.69057,NA,NA,NA,NA
"rk_rf",1,3.95124371858143,3.05163433550464,120.42701,-27.68831,NA,NA,NA,NA
"rk_rf",1,2.56494935746154,3.1521949879184,120.82319,-27.67807,NA,NA,NA,NA
"rk_rf",1,3.36729582998647,3.0200962830868,120.18538,-27.67059,NA,NA,NA,NA
"rk_rf",1,2.99573227355399,2.88855174107718,120.24504,-27.66792,NA,NA,NA,NA
"rk_rf",1,3.46573590279973,3.15079859321968,120.40674,-27.65406,NA,NA,NA,NA
"rk_rf",1,5.1624976434055,5.14100595688517,120.55535,-27.64078,NA,NA,NA,NA
"rk_rf",1,2.94443897916644,2.82433275671499,120.24363,-27.63679,NA,NA,NA,NA
"rk_rf",1,4.69134788222914,3.81483299872544,120.57926,-27.62316,NA,NA,NA,NA
"rk_rf",1,4.5857834721879,4.30982328286502,120.56341,-27.61422,NA,NA,NA,NA
"rk_rf",1,3.25809653802148,2.82956418415039,120.32582,-27.59537,NA,NA,NA,NA
"rk_rf",1,3.13549421592915,3.02757620662184,120.16524,-27.58123,NA,NA,NA,NA
"rk_rf",1,3.58351893845611,2.85955912826559,120.40349,-27.57068,NA,NA,NA,NA
"rk_rf",1,2.70805020110221,3.00120793981808,120.79427,-27.56044,NA,NA,NA,NA
"rk_rf",1,2.77258872223978,2.95750624466346,120.19131,-27.55251,NA,NA,NA,NA
